Return,MaxDD,PF,Wins,Losses
0.27761542197323563,-0.10204587367723097,2.593765011487816,3,15
0.2602324217259495,-0.05200358078942378,3.011964908856192,5,13
-0.23745466310679642,-0.23745466310679647,0.2537500583560249,1,17
0.7580877399856965,-0.058293483929109866,6.246524325803639,4,14
0.006931082341244288,-0.15307034554858415,1.031339867672788,3,15
0.3096792292601205,-0.03999422160350392,3.964729941728339,5,13
0.13783820635318,-0.10861851632665889,1.660574138917388,2,16
0.5436684061061232,-0.05219121781220508,4.126411703574872,4,14
0.3460081365610108,-0.035750638845013935,6.667281255079975,6,12
0.07962019221018135,-0.07639619280529746,1.4253980445505252,3,15
0.3210095772470851,-0.049529582373064415,2.8572640752108636,4,14
0.15958009160178954,-0.12714123321394424,1.754582898133812,2,16
0.3806155146955257,-0.11068531025145885,2.64308535858062,3,15
